segment,loan_id,borrower,exposure_inr_lakh,bureau_score,score_migration_3m,dpd_current,dpd_trend_6m,emi_bounce_6m,util_ratio,util_spike_3m,cashflow_coverage,salary_regularity,balance_volatility,new_enquiries_3m,leverage_buildup,ltv_drift,gst_filing_gap_m,interest_coverage,news_adverse_severity,legal_event_flag,call_sentiment_drift,hardship_mentions_6m,audit_qualified_flag,web_footprint_decline,default_12m,true_pd,vintage
Retail Unsecured,LN100032,Borrower-00032,28.6,691.0,6.0,35,-0.17,1,0.637,-0.097,2.2,0.87,0.207,0,-0.042,0.0,0,,0.0,0,0.125,0,0,0.0,0,0.0001,train
Retail Secured,LN100033,Borrower-00033,30.0,682.0,19.0,5,0.41,0,0.237,-0.001,2.43,0.798,0.193,0,0.138,0.022,0,,0.0,0,0.021,0,0,0.0,0,0.0,train
Retail Secured,LN100034,Borrower-00034,9.1,741.0,30.0,0,-0.05,0,0.398,0.042,0.95,0.911,0.377,1,0.097,-0.157,0,,0.0,0,0.177,1,0,0.0,0,0.0,train
Retail Unsecured,LN100035,Borrower-00035,65.9,680.0,2.0,0,-0.09,0,0.881,0.09,1.53,0.876,1.006,1,0.048,0.0,0,,0.0,0,0.294,0,0,0.0,0,0.0002,train
Retail Unsecured,LN100036,Borrower-00036,22.2,655.0,12.0,35,-0.93,0,0.372,-0.038,1.29,0.714,0.396,0,-0.332,0.0,0,,0.0,0,0.269,0,0,0.0,0,0.0,train
Retail Secured,LN100037,Borrower-00037,39.9,713.0,2.0,15,0.67,0,0.166,0.213,1.78,0.946,0.38,0,-0.555,0.04,0,,0.0,0,0.118,0,0,0.0,0,0.0,train
Retail Unsecured,LN100038,Borrower-00038,6.6,713.0,6.0,5,0.3,0,0.923,0.313,1.27,0.833,0.489,1,0.018,0.0,0,,0.0,0,-0.258,1,0,0.0,0,0.1952,train
SME,LN100039,Borrower-00039,20.2,692.0,-3.0,5,-0.76,0,0.452,-0.098,1.71,0.876,0.352,1,0.401,0.0,0,4.97,0.0,0,0.151,1,0,0.091,0,0.0002,train
Retail Secured,LN100040,Borrower-00040,82.0,666.0,7.0,0,1.49,1,0.791,0.322,2.15,0.869,0.507,0,-0.183,0.152,0,,0.0,0,-0.485,0,0,0.0,0,0.0426,train
Mid Corporate,LN100041,Borrower-00041,71.3,693.0,-13.0,15,0.21,0,0.528,-0.069,0.66,0.804,0.348,0,0.137,0.0,0,2.18,0.0,0,0.399,0,0,0.0,0,0.0003,train
SME,LN100042,Borrower-00042,10.2,689.0,36.0,15,-1.42,0,0.418,-0.178,1.28,0.965,0.143,1,0.776,0.0,2,2.76,0.0,0,-0.539,0,0,0.0,0,0.0,train
Retail Unsecured,LN100043,Borrower-00043,13.5,682.0,-43.0,0,0.94,0,0.511,0.011,1.62,0.734,0.015,0,0.16,0.0,0,,0.0,0,-0.674,0,0,0.0,0,0.0537,train
Mid Corporate,LN100044,Borrower-00044,8.3,730.0,10.0,15,-0.67,0,0.585,0.058,1.14,0.993,0.164,0,0.4,0.0,0,3.63,0.0,0,-0.268,0,0,0.015,0,0.0002,train
SME,LN100045,Borrower-00045,11.9,837.0,6.0,35,-0.41,0,0.401,-0.066,1.85,0.975,0.759,0,-0.133,0.0,0,1.87,0.0,0,0.326,0,0,0.0,0,0.0,train
Retail Secured,LN100046,Borrower-00046,5.3,788.0,7.0,15,-0.19,0,0.021,-0.029,1.01,0.779,0.423,0,-0.114,-0.036,0,,0.0,0,0.303,0,0,0.0,0,0.0,train
Retail Unsecured,LN100047,Borrower-00047,21.1,822.0,-21.0,35,0.86,1,0.446,0.088,1.81,0.827,0.329,0,0.238,0.0,0,,0.0,0,0.477,0,0,0.0,0,0.0331,train
SME,LN100048,Borrower-00048,49.2,684.0,-30.0,15,-0.06,0,0.481,-0.206,1.58,0.681,0.288,1,-0.057,0.0,2,4.91,0.0,0,0.422,0,0,0.0,0,0.0008,train
Retail Unsecured,LN100049,Borrower-00049,10.3,807.0,11.0,35,0.62,0,0.491,-0.014,1.16,0.48,0.203,0,0.562,0.0,0,,0.0,0,-0.004,0,0,0.0,0,0.0176,train
Retail Unsecured,LN100050,Borrower-00050,22.2,728.0,24.0,5,-1.57,1,0.05,-0.146,0.87,0.909,0.275,2,-0.046,0.0,0,,0.0,0,-0.499,0,0,0.0,0,0.0,train
Retail Unsecured,LN100051,Borrower-00051,19.2,769.0,4.0,0,-1.1,0,0.558,-0.059,1.8,0.958,0.193,0,0.065,0.0,0,,0.0,0,0.159,0,0,0.0,0,0.0,train
SME,LN100052,Borrower-00052,78.3,740.0,14.0,0,0.03,1,0.303,0.193,2.67,0.869,0.177,0,0.137,0.0,0,4.43,0.0,1,-0.215,0,0,0.186,0,0.0432,train
SME,LN100053,Borrower-00053,12.5,696.0,-8.0,35,-0.73,0,0.7,0.037,2.02,0.619,0.171,1,-0.109,0.0,1,2.09,0.0,0,0.015,0,0,0.0,0,0.0005,train
SME,LN100054,Borrower-00054,13.0,755.0,6.0,5,-0.2,1,0.031,0.284,1.99,0.998,0.163,1,0.201,0.0,2,4.45,0.0,0,0.233,0,0,0.0,0,0.0002,train
SME,LN100055,Borrower-00055,9.7,742.0,22.0,0,0.75,0,0.585,-0.064,1.39,0.981,0.334,1,0.107,0.0,1,6.41,0.0,0,-0.12,1,0,0.0,0,0.0008,train
Retail Secured,LN100056,Borrower-00056,7.0,618.0,-6.0,0,-0.8,0,0.352,0.148,1.61,0.875,0.332,3,-0.269,0.03,0,,0.0,0,-0.189,1,0,0.0,0,0.0001,train
Retail Secured,LN100057,Borrower-00057,43.9,708.0,21.0,0,-0.74,0,0.329,0.11,1.06,0.874,0.113,2,-0.122,0.066,0,,0.0,0,0.389,0,0,0.0,0,0.0,train
Retail Unsecured,LN100058,Borrower-00058,21.1,763.0,-29.0,35,0.11,2,0.493,-0.204,1.16,0.747,0.258,1,-0.119,0.0,0,,0.833,0,-0.31,0,0,0.0,1,1.0,train
Retail Unsecured,LN100059,Borrower-00059,26.1,730.0,-11.0,0,-2.13,1,0.055,-0.072,1.9,0.909,0.353,1,-0.089,0.0,0,,0.0,0,-0.492,0,0,0.0,0,0.0,train
SME,LN100060,Borrower-00060,99.7,741.0,10.0,0,1.01,0,0.797,0.171,0.98,0.885,0.059,0,0.169,0.0,1,3.85,0.0,0,0.036,0,0,0.122,0,0.0046,train
Retail Secured,LN100061,Borrower-00061,106.2,674.0,34.0,35,0.13,0,0.481,0.053,1.5,0.441,0.56,2,-0.301,-0.043,0,,0.0,0,0.105,1,0,0.0,0,0.0009,train
Retail Secured,LN100062,Borrower-00062,4.0,729.0,0.0,15,0.09,1,0.251,-0.095,1.14,0.773,0.339,1,-0.341,0.01,0,,0.0,0,0.312,0,0,0.0,0,0.0001,train
SME,LN100063,Borrower-00063,50.0,710.0,-19.0,35,-0.54,1,0.214,-0.199,1.48,0.934,0.225,1,-0.301,0.0,1,4.57,0.0,0,0.082,0,0,0.0,0,0.0003,train
SME,LN100064,Borrower-00064,31.4,704.0,34.0,0,0.69,1,0.437,-0.228,1.08,0.674,0.085,1,-0.073,0.0,0,4.57,0.0,0,-0.134,0,0,0.0,0,0.0002,train
Retail Secured,LN100065,Borrower-00065,14.8,678.0,-2.0,0,-0.16,0,0.228,0.105,0.52,0.566,0.26,1,-0.352,0.099,0,,0.0,0,-0.319,0,0,0.0,0,0.0006,train
Retail Secured,LN100066,Borrower-00066,35.2,765.0,12.0,0,1.23,0,0.386,-0.139,1.83,0.463,0.188,0,-0.082,-0.013,0,,0.0,0,0.355,0,0,0.0,0,0.0,train
Retail Unsecured,LN100067,Borrower-00067,3.7,734.0,-6.0,15,-1.71,0,0.405,0.198,1.59,0.947,0.262,2,0.127,0.0,0,,0.0,0,-0.059,0,0,0.0,0,0.0,train
Retail Unsecured,LN100068,Borrower-00068,122.6,728.0,3.0,15,0.06,0,0.238,0.121,2.04,0.793,0.618,3,-0.109,0.0,0,,0.0,0,0.152,0,0,0.0,0,0.0001,train
Retail Secured,LN100069,Borrower-00069,43.2,828.0,-10.0,0,0.04,0,0.254,-0.316,2.44,0.756,0.217,1,0.275,-0.002,0,,0.0,0,-0.078,0,0,0.0,0,0.0,train
Retail Unsecured,LN100070,Borrower-00070,9.5,741.0,41.0,0,0.31,0,0.438,0.056,1.85,0.53,0.323,2,-0.018,0.0,0,,0.0,0,-0.175,0,0,0.0,0,0.0,train
Retail Secured,LN100071,Borrower-00071,12.9,781.0,21.0,0,1.4,0,0.645,-0.085,2.05,0.955,0.097,1,-0.223,0.027,0,,0.0,0,-0.151,0,0,0.0,0,0.0,train
Mid Corporate,LN100072,Borrower-00072,3.8,730.0,32.0,0,-1.36,0,0.118,-0.016,2.04,0.869,0.762,1,-0.493,0.0,1,0.2,0.0,0,-0.011,1,0,0.0,0,0.0,train
Retail Unsecured,LN100073,Borrower-00073,17.4,696.0,-14.0,5,-1.39,0,0.169,0.01,2.57,0.786,0.178,0,0.409,0.0,0,,0.0,0,-0.119,0,0,0.0,0,0.0,train
Retail Unsecured,LN100074,Borrower-00074,14.4,657.0,-33.0,0,-0.35,0,0.282,-0.029,1.15,0.818,0.066,0,-0.457,0.0,0,,0.0,0,0.05,0,0,0.0,0,0.0,train
Retail Unsecured,LN100075,Borrower-00075,5.7,728.0,-5.0,0,-1.89,0,0.278,0.04,1.44,0.781,0.197,0,-0.036,0.0,0,,0.0,0,-0.174,0,0,0.0,0,0.0,train
Retail Unsecured,LN100076,Borrower-00076,57.6,569.0,45.0,0,2.31,0,0.477,-0.148,1.3,0.834,0.062,1,-0.258,0.0,0,,0.0,0,-0.35,0,0,0.0,0,0.0001,train
SME,LN100077,Borrower-00077,99.9,730.0,-6.0,5,0.93,0,0.426,0.103,1.63,0.739,0.37,1,-0.041,0.0,1,1.35,0.0,0,-0.157,0,0,0.047,0,0.0063,train
Retail Secured,LN100078,Borrower-00078,23.8,732.0,19.0,35,0.52,0,0.725,-0.193,1.22,0.959,0.179,3,0.098,-0.079,0,,0.0,0,-0.179,0,0,0.0,0,0.0009,train
SME,LN100079,Borrower-00079,17.5,703.0,-18.0,0,0.78,0,0.764,-0.039,1.05,0.675,0.206,2,0.283,0.0,1,4.09,0.0,0,0.174,0,0,0.0,0,0.173,train
SME,LN100080,Borrower-00080,39.6,710.0,-15.0,0,1.27,0,0.139,-0.038,1.3,0.613,0.421,1,0.486,0.0,2,5.42,0.0,0,0.005,0,0,0.045,0,0.2621,train
Retail Secured,LN100081,Borrower-00081,24.0,646.0,-1.0,0,-0.61,0,0.27,0.181,1.1,0.667,0.23,2,-0.434,-0.085,0,,0.0,0,-0.044,0,0,0.0,0,0.0,train
SME,LN100082,Borrower-00082,7.5,791.0,38.0,15,-0.36,0,0.565,-0.134,1.19,0.917,0.071,1,0.017,0.0,0,2.32,0.849,0,0.242,1,0,0.127,0,0.0454,train
Retail Unsecured,LN100083,Borrower-00083,12.0,696.0,20.0,5,0.34,0,0.374,0.04,0.64,0.904,0.461,2,0.13,0.0,0,,0.0,0,0.433,0,0,0.0,0,0.0001,train
Retail Unsecured,LN100084,Borrower-00084,17.7,662.0,-37.0,0,-0.5,0,0.434,0.087,2.73,0.882,0.152,0,-0.096,0.0,0,,0.0,0,-0.13,1,0,0.0,0,0.0,train
Retail Unsecured,LN100085,Borrower-00085,32.2,745.0,12.0,0,-0.93,0,0.631,0.092,1.15,0.917,0.649,0,-0.048,0.0,0,,0.0,0,-0.548,0,0,0.0,0,0.0,train
SME,LN100086,Borrower-00086,24.8,721.0,-21.0,0,-0.53,0,0.659,-0.034,2.17,0.901,0.423,2,-0.355,0.0,0,3.6,0.0,0,0.116,0,0,0.0,0,0.0,train
Retail Secured,LN100087,Borrower-00087,30.9,695.0,-12.0,15,0.38,2,0.116,0.069,2.17,0.962,0.038,0,0.17,-0.13,0,,0.0,0,-0.669,2,0,0.0,1,0.6328,train
Retail Unsecured,LN100088,Borrower-00088,4.6,689.0,9.0,0,0.91,1,0.277,0.171,1.66,0.606,0.054,1,-0.067,0.0,0,,0.0,0,0.528,0,0,0.0,0,0.0,train
Retail Secured,LN100089,Borrower-00089,51.0,715.0,25.0,5,-1.27,0,0.161,-0.094,1.08,0.76,0.46,0,-0.001,-0.007,0,,0.0,0,-0.148,0,0,0.0,0,0.0,train
Retail Unsecured,LN100090,Borrower-00090,24.6,789.0,24.0,0,-0.19,0,0.262,-0.043,2.19,0.876,0.086,1,-0.114,0.0,0,,0.0,0,0.126,1,0,0.0,0,0.0,train
SME,LN100091,Borrower-00091,406.7,741.0,6.0,0,-0.05,0,0.346,0.007,2.11,0.778,0.236,1,0.076,0.0,1,4.33,0.0,0,0.307,0,0,0.037,0,0.0,train
Retail Secured,LN100092,Borrower-00092,16.0,713.0,6.0,5,-1.39,2,0.596,-0.1,2.08,0.947,0.153,1,-0.064,0.013,0,,0.0,0,0.198,0,0,0.0,0,0.0,train
Retail Secured,LN100093,Borrower-00093,35.0,762.0,24.0,15,0.45,1,0.331,0.191,2.09,0.778,0.097,1,-0.148,-0.133,0,,0.0,0,0.055,0,0,0.0,0,0.0,train
Retail Unsecured,LN100094,Borrower-00094,551.2,717.0,-28.0,35,-0.11,0,0.749,-0.03,1.88,0.951,0.726,0,-0.188,0.0,0,,0.0,0,0.194,1,0,0.0,0,0.0213,train
SME,LN100095,Borrower-00095,30.4,737.0,33.0,0,-0.94,0,0.663,-0.026,1.95,0.945,0.535,1,-0.021,0.0,0,1.48,0.0,0,0.161,1,0,0.0,0,0.0,train
Retail Secured,LN100096,Borrower-00096,22.8,723.0,-13.0,35,-0.48,0,0.186,-0.121,2.12,0.596,0.33,1,-0.029,0.015,0,,0.0,0,-0.204,1,0,0.0,0,0.001,train
Retail Unsecured,LN100097,Borrower-00097,8.3,747.0,5.0,15,0.54,0,0.967,0.055,1.26,0.625,0.156,1,-0.007,0.0,0,,0.0,1,-0.695,0,0,0.0,1,0.9955,train
Retail Unsecured,LN100098,Borrower-00098,131.8,691.0,-9.0,0,0.98,0,0.355,0.089,1.56,0.984,0.176,0,-0.411,0.0,0,,0.0,0,0.378,0,0,0.0,0,0.0,train
Microfinance,LN100099,Borrower-00099,6.9,652.0,-21.0,0,0.34,0,0.828,-0.145,0.85,0.869,0.226,1,-0.243,0.0,0,,0.0,0,-0.04,0,0,0.176,0,0.0023,train
Mid Corporate,LN100100,Borrower-00100,39.2,765.0,8.0,5,1.91,0,0.484,0.077,2.41,0.646,0.101,0,-0.286,0.0,1,1.57,0.0,0,-0.142,0,0,0.0,0,0.0,train
SME,LN100101,Borrower-00101,14.6,798.0,4.0,0,1.12,1,0.173,0.1,1.85,0.796,0.358,0,-0.18,0.0,0,2.16,0.345,0,-0.168,1,0,0.0,0,0.081,train
Retail Unsecured,LN100102,Borrower-00102,19.9,655.0,-2.0,0,0.55,0,0.708,0.036,0.9,0.604,0.196,1,-0.19,0.0,0,,0.0,0,-0.476,0,0,0.0,0,0.0182,train
Microfinance,LN100103,Borrower-00103,5.1,725.0,-3.0,0,-0.7,0,0.439,-0.109,0.33,0.831,0.223,0,-0.168,0.0,0,,0.0,0,-0.123,2,0,0.206,0,0.0058,train
SME,LN100104,Borrower-00104,107.5,690.0,27.0,5,1.13,0,0.843,-0.038,1.67,0.934,0.613,1,0.356,0.0,0,3.29,0.0,0,-0.097,0,0,0.262,0,0.0087,train
SME,LN100105,Borrower-00105,18.1,764.0,39.0,35,-0.77,1,0.501,-0.192,1.5,0.415,0.371,1,-0.139,0.0,2,0.2,0.0,0,0.026,0,1,0.177,1,0.4472,train
Retail Secured,LN100106,Borrower-00106,6.4,729.0,23.0,15,0.75,0,0.642,-0.167,1.33,0.793,0.251,1,-0.356,-0.117,0,,0.0,0,0.073,0,0,0.0,0,0.0,train
Retail Unsecured,LN100107,Borrower-00107,97.3,898.0,5.0,0,-2.44,2,0.525,0.099,1.77,0.853,0.339,2,0.02,0.0,0,,0.0,0,-0.039,0,0,0.0,0,0.0,train
Retail Unsecured,LN100108,Borrower-00108,14.1,698.0,-29.0,0,-0.49,1,0.331,0.172,2.14,0.952,0.295,0,-0.102,0.0,0,,0.0,0,-0.049,0,0,0.0,0,0.0,train
Mid Corporate,LN100109,Borrower-00109,35.4,800.0,11.0,35,-1.4,0,0.216,-0.042,2.28,0.891,0.209,0,0.141,0.0,0,4.33,0.0,0,-0.168,0,0,0.126,0,0.0,train
Retail Secured,LN100110,Borrower-00110,61.9,805.0,12.0,35,-0.29,0,0.149,0.069,2.39,0.961,0.43,0,0.358,-0.013,0,,0.0,0,-0.117,0,0,0.0,0,0.0,train
Retail Unsecured,LN100111,Borrower-00111,41.3,744.0,14.0,5,-1.54,0,0.506,-0.072,1.63,0.861,0.958,1,0.265,0.0,0,,0.0,0,0.262,0,0,0.0,0,0.0,train
Retail Unsecured,LN100112,Borrower-00112,2.2,717.0,-21.0,5,0.03,0,0.937,-0.011,2.55,0.768,0.128,1,-0.035,0.0,0,,0.0,0,0.362,0,0,0.0,0,0.0,train
Retail Secured,LN100113,Borrower-00113,52.7,720.0,15.0,0,0.47,1,0.409,0.05,1.36,0.717,0.354,0,-0.128,-0.016,0,,0.0,0,0.308,0,0,0.0,0,0.0001,train
Retail Unsecured,LN100114,Borrower-00114,22.0,716.0,28.0,5,-0.65,1,0.267,0.061,1.78,0.864,0.622,1,0.032,0.0,0,,0.0,0,-0.067,0,0,0.0,0,0.0,train
Mid Corporate,LN100115,Borrower-00115,17.1,777.0,-18.0,5,-0.32,0,0.523,-0.053,1.87,0.814,0.046,0,-0.222,0.0,0,1.42,0.0,0,-0.106,0,0,0.197,0,0.0,train
SME,LN100116,Borrower-00116,21.8,667.0,12.0,0,0.22,0,0.495,0.098,2.02,0.943,0.322,0,0.078,0.0,1,1.85,0.0,0,0.182,0,0,0.0,0,0.0,train
SME,LN100117,Borrower-00117,4.2,706.0,-15.0,15,-0.05,0,0.614,-0.144,1.0,0.977,0.097,0,0.215,0.0,0,3.87,0.0,0,-0.062,0,0,0.0,0,0.0006,train
Retail Secured,LN100118,Borrower-00118,30.3,699.0,-2.0,0,1.35,0,0.822,0.177,2.06,0.903,0.075,0,0.016,0.092,0,,0.0,0,-0.243,0,0,0.0,0,0.0005,train
SME,LN100119,Borrower-00119,5.5,620.0,-17.0,0,-0.69,0,0.704,-0.105,1.94,0.793,0.47,0,0.207,0.0,0,1.01,0.0,0,-0.388,0,0,0.0,0,0.0004,train
Retail Secured,LN100120,Borrower-00120,17.9,762.0,-6.0,0,0.54,0,0.637,0.067,0.83,0.79,0.272,0,0.106,-0.004,0,,0.0,0,-0.356,0,0,0.0,0,0.0063,train
SME,LN100121,Borrower-00121,29.1,773.0,-6.0,0,0.26,0,0.15,-0.183,1.69,0.906,0.428,1,-0.025,0.0,2,4.78,0.0,0,0.424,0,0,0.0,0,0.0,train
Retail Unsecured,LN100122,Borrower-00122,80.0,680.0,7.0,5,-1.59,0,0.112,-0.144,1.49,0.882,0.478,0,-0.153,0.0,0,,0.0,0,-0.039,0,0,0.0,0,0.0,train
Retail Secured,LN100123,Borrower-00123,10.0,772.0,16.0,15,0.09,0,0.35,-0.203,2.65,0.901,0.786,0,0.353,0.165,0,,0.0,0,0.163,0,0,0.0,0,0.0,train
Retail Unsecured,LN100124,Borrower-00124,121.1,628.0,22.0,0,-0.09,1,0.443,-0.159,1.83,0.841,0.151,0,0.534,0.0,0,,0.0,0,-0.085,0,0,0.0,0,0.0,train
Retail Secured,LN100125,Borrower-00125,69.5,716.0,-12.0,15,-0.49,1,0.36,0.142,1.4,0.51,0.883,1,-0.192,-0.14,0,,0.0,0,0.491,0,0,0.0,0,0.0006,train
Retail Unsecured,LN100126,Borrower-00126,15.3,708.0,6.0,15,1.77,0,0.721,-0.041,1.33,0.856,0.366,2,0.132,0.0,0,,0.0,0,-0.231,0,0,0.0,0,0.0724,train
Retail Unsecured,LN100127,Borrower-00127,7.2,720.0,-20.0,15,1.29,1,0.041,0.073,2.12,0.726,0.259,1,0.196,0.0,0,,0.0,0,0.142,0,0,0.0,0,0.0043,train
Retail Unsecured,LN100128,Borrower-00128,5.0,720.0,-2.0,15,-0.76,0,0.85,0.068,1.78,0.783,0.204,0,-0.02,0.0,0,,0.0,0,-0.761,1,0,0.0,0,0.0051,train
Retail Secured,LN100129,Borrower-00129,33.1,711.0,1.0,15,0.64,0,0.146,0.076,1.68,0.747,0.335,0,-0.128,-0.175,0,,0.0,0,-0.676,0,0,0.0,0,0.0001,train
Retail Unsecured,LN100130,Borrower-00130,10.9,694.0,-17.0,15,0.74,0,0.312,0.143,1.97,0.652,0.111,1,0.125,0.0,0,,0.0,0,-0.441,0,0,0.0,0,0.0027,train
